epoch,pixel_auroc,image_auroc,aupro,loss_proj,loss_distill,total_loss
1,0.9892,0.9999,0.9659,0.0007979883654722167,0.4852225072681904,0.4853821052859227
2,0.9885,0.9997,0.9636,0.000753628103727048,0.31194488815963267,0.31209561315675577
3,0.9892,0.9998,0.9664,0.000734797971866404,0.27502884169419606,0.27517580054700375
4,0.9881,0.9991,0.9626,0.0007041244315284227,0.2535423364490271,0.2536831612388293
5,0.988,1.0,0.9629,0.0006784229933449145,0.23920227897663912,0.2393379636729757
6,0.988,1.0,0.9621,0.0006407544572236171,0.22366151430954537,0.22378966522713503
7,0.9875,0.9999,0.9603,0.0006198394457896939,0.21419767178595067,0.21432163969924053
8,0.987,0.9999,0.959,0.0005966086517825412,0.20584659619877735,0.20596591824044783
9,0.9873,0.9998,0.9598,0.0005871641529665794,0.19804820697754622,0.1981656396140655
10,0.9874,1.0,0.9604,0.0005644569736129294,0.1925224273155133,0.19263531907151143
